Model,Encoded_Value,,,,,
TOUAREG TDI (modified),657,,,,,
S60,658,,,,,
S60 AWD,659,,,,,
S80,660,,,,,
S80 AWD,661,,,,,
XC60,662,,,,,
XC60 AWD,663,,,,,
XC70 AWD,664,,,,,
XC90 AWD,665,,,,,
MDX SH-AWD,666,,,,,
RLX HYBRID,667,,,,,
TLX,668,,,,,
TLX SH-AWD,669,,,,,
RAPIDE S,670,,,,,
V12 VANTAGE S,671,,,,,
VANTAGE GT,672,,,,,
A3,673,,,,,
A3 TDI (modified),674,,,,,
A3 QUATTRO,675,,,,,
A3 CABRIOLET QUATTRO,676,,,,,
A4 ALLROAD QUATTRO,677,,,,,
Q3,678,,,,,
Q3 QUATTRO,679,,,,,
S3,680,,,,,
CONTINENTAL GT CONVERTIBLE,681,,,,,
CONTINENTAL GT3-R,682,,,,,
228i CABRIOLET,683,,,,,
228i COUPE,684,,,,,
228i xDRIVE CABRIOLET,685,,,,,
228i xDRIVE COUPE,686,,,,,
320i SEDAN,687,,,,,
320i xDRIVE SEDAN,688,,,,,
328d xDRIVE SEDAN,689,,,,,
328i SEDAN,690,,,,,
328i xDRIVE SEDAN,691,,,,,
335i SEDAN,692,,,,,
335i xDRIVE SEDAN,693,,,,,
428i CABRIOLET,694,,,,,
428i GRAN COUPE,695,,,,,
428i xDRIVE CABRIOLET,696,,,,,
428i xDRIVE GRAN COUPE,697,,,,,
435i CABRIOLET,698,,,,,
435i GRAN COUPE,699,,,,,
435i xDRIVE CABRIOLET,700,,,,,
435i xDRIVE GRAN COUPE,701,,,,,
528i SEDAN,702,,,,,
528i xDRIVE SEDAN,703,,,,,
535d xDRIVE SEDAN,704,,,,,
535i xDRIVE SEDAN,705,,,,,
550i xDRIVE SEDAN,706,,,,,
640i xDRIVE CABRIOLET,707,,,,,
740Ld xDRIVE SEDAN,708,,,,,
740Li xDRIVE SEDAN,709,,,,,
750i xDRIVE SEDAN,710,,,,,
750Li xDRIVE SEDAN,711,,,,,
760Li SEDAN,712,,,,,
ALPINA B6 xDRIVE GRAN COUPE,713,,,,,
M235i CABRIOLET,714,,,,,
M235i COUPE,715,,,,,
M235i xDRIVE COUPE,716,,,,,
M3 SEDAN,717,,,,,
M4 CABRIOLET,718,,,,,
M4 COUPE,719,,,,,
M5 SEDAN,720,,,,,
M6 COUPE,721,,,,,
X3 xDRIVE28d,722,,,,,
X4 xDRIVE28i,723,,,,,
X4 xDRIVE35i,724,,,,,
X5 M,725,,,,,
X5 xDRIVE35d,726,,,,,
CTS,727,,,,,
CTS AWD,728,,,,,
CTS Vsport,729,,,,,
ESCALADE 4WD,730,,,,,
ESCALADE ESV 4WD,731,,,,,
CAMARO Z/28,732,,,,,
CITY EXPRESS,733,,,,,
COLORADO,734,,,,,
COLORADO 4WD,735,,,,,
CORVETTE Z06,736,,,,,
EQUINOX FFV,737,,,,,
EQUINOX AWD FFV,738,,,,,
EXPRESS 2500 PASSENGER FFV,739,,,,,
EXPRESS 3500 PASSENGER FFV,740,,,,,
200,741,,,,,
200 FFV,742,,,,,
200 AWD,743,,,,,
200 AWD FFV,744,,,,,
CHALLENGER SRT HELLCAT,745,,,,,
CHARGER SRT 392 HEMI,746,,,,,
CHARGER SRT HELLCAT,747,,,,,
VIPER SRT COUPE,748,,,,,
500L,749,,,,,
EDGE (Start/Stop),750,,,,,
EDGE SPORT AWD,751,,,,,
EXPEDITION 4X4,752,,,,,
